Num Axles , Articulated , Vehicle Code , Registration Classes     , Low entry , Passengers Lower Deck , Body Height , Vehicle Parameter Group , Heavy Urban , Urban , Suburban , Interurban , Coach , Air Drag Measurement , CdxA Standard , Axle load distribution , External displays , Internal displays , Fridge , Kitchen Standard , Is Valid
3         , 0           , CJ           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 33e                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 7.1           , 27.3/45.4/27.3         , 2                 , 1                 , 0      , 0                , 1
3         , 0           , CA           , II                       , -         , -                     , -           , 34a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3         , 3                 , 2                 , 0      , 0                , 1
3         , 0           , CA           , II+III                   , -         , -                     , 0-3.1       , 34b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3         , 3                 , 2                 , 0      , 0                , 1
3         , 0           , CA           , II+III                   , -         , -                     , 3.1-999     , 34c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3         , 1                 , 2                 , 1      , 1                , 1
3         , 0           , CA           , III/B                    , -         , -                     , -           , 34d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3         , 1                 , 2                 , 1      , 1                , 1
3         , 0           , CB           , II/II+III/III/B          , -         , 0-6                   , -           , 34e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.3           , 27.3/45.4/27.3         , 1                 , 3                 , 1      , 1                , 1
3         , 0           , CB           , II/II+III/III/B          , -         , 7-9999                , -           , 34f                     ,             ,       ,          , 3          , 2     , 1                    , 5.3           , 27.3/45.4/27.3         , 1                 , 4                 , 1      , 1.5              , 1
3         , 1           , CG           , I/I+II/II/A              , 0         , -                     , -           , 35a                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 24.3/35.2/40.5         , 3                 , 3                 , 0      , 0                , 1
3         , 1           , CG           , I/I+II/II/A              , 1         , -                     , -           , 35b                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 24.3/35.2/40.5         , 3                 , 3                 , 0      , 0                , 1
3         , 1           , CH           , I/I+II/II/A              , -         , -                     , -           , 35c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.4           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CC           , II                       , -         , -                     , -           , 36a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CC           , II+III                   , -         , -                     , 0-3.1       , 36b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CC           , II+III                   , -         , -                     , 3.1-999     , 36c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CC           , III/B                    , -         , -                     , -           , 36d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CD           , II/II+III/III/B          , -         , 0-6                   , -           , 36e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.4           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
3         , 1           , CD           , II/II+III/III/B          , -         , 7-9999                , -           , 36f                     ,             ,       ,          , 3          , 2     , 1                    , 5.4           , 24.3/35.2/40.5         , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CE           , I/I+II/II/A              , 0         , -                     , -           , 37a                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CE           , I/I+II/II/A              , 1         , -                     , -           , 37b                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CF           , I/I+II/II/A              , -         , -                     , -           , 37c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.4           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CI           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 37d                     , 3           , 3     , 3        ,            ,       , 0                    , 5.9           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CJ           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 37e                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 7.2           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CA           , II                       , -         , -                     , -           , 38a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CA           , II+III                   , -         , -                     , 0-3.1       , 38b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CA           , II+III                   , -         , -                     , 3.1-999     , 38c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CA           , III/B                    , -         , -                     , -           , 38d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CB           , II/II+III/III/B          , -         , 0-6                   , -           , 38e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.4           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 0           , CB           , II/II+III/III/B          , -         , 7-9999                , -           , 38f                     ,             ,       ,          , 3          , 2     , 1                    , 5.4           , 21.4/21.4/35.8/21.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CG           , I/I+II/II/A              , 0         , -                     , -           , 39a                     , 3           , 3     , 3        ,            ,       , 0                    , 5.2           , 20.0/28.2/32.4/19.4    , 3                 , 3                 , 0      , 0                , 1
4         , 1           , CG           , I/I+II/II/A              , 1         , -                     , -           , 39b                     , 3           , 3     , 3        ,            ,       , 0                    , 5.2           , 20.0/28.2/32.4/19.4    , 3                 , 3                 , 0      , 0                , 1
4         , 1           , CH           , I/I+II/II/A              , -         , -                     , -           , 39c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.5           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CC           , II                       , -         , -                     , -           , 40a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.9           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CC           , II+III                   , -         , -                     , 0-3.1       , 40b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.9           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CC           , II+III                   , -         , -                     , 3.1-999     , 40c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.9           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CC           , III/B                    , -         , -                     , -           , 40d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.9           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CD           , II/II+III/III/B          , -         , 0-6                   , -           , 40e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.5           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
4         , 1           , CD           , II/II+III/III/B          , -         , 7-9999                , -           , 40f                     ,             ,       ,          , 3          , 2     , 1                    , 5.5           , 20.0/28.2/32.4/19.4    , 0                 , 0                 , 0      , 0                , 1
